GEOID,Total population,White,Black,Asian,Hispanic
36081016400,3954,39,470,1164,860
36081016800,3598,41,760,1037,989
36081016900,5893,2780,54,1299,1453
36081017000,2674,18,949,979,255
36081017200,2129,26,828,708,273
36081017400,2483,30,920,746,425
36081017600,2255,113,994,521,394
36081017800,2291,33,722,745,396
36081017901,1122,249,24,337,439
36081018000,1205,43,670,41,132
36081018101,4024,1362,30,933,1581
36081018102,3389,1479,35,1012,719
36081018200,2695,44,1676,223,323
36081018300,5673,2505,21,1667,1165
36081018401,2158,0,1442,33,293
36081018402,2628,58,1678,239,407
36081018501,3429,1453,25,795,1006
36081018502,3152,1488,81,621,843
36081018600,2024,20,1149,152,311
36081018700,2928,899,74,807,1127
36081018800,1363,23,912,40,321
36081018900,3401,754,211,1689,626
36081019000,2706,65,1736,139,323
36081019200,2225,44,1336,363,250
36081019400,3185,34,1285,601,568
36081019600,3374,9,2002,261,344
36081019800,2989,27,1612,722,450
36081019901,539,82,222,39,196
36081020200,1776,4,904,326,216
36081020400,2191,50,680,491,817
36081020500,1300,155,15,160,970
36081020600,1729,50,301,272,895
36081020800,3272,752,661,228,936
36081021200,2977,148,199,282,1984
36081021400,6025,595,1387,1796,1318
36081021601,2838,1375,291,665,398
36081021602,1784,306,1,214,1196
36081022001,6630,1952,1116,941,2208
36081022002,7406,2559,1310,1435,1951
36081023000,1993,486,114,820,533
36081023200,5923,1161,965,1965,1336
36081023501,4382,297,29,1825,2070
36081023502,2885,446,24,411,1845
36081023600,3377,445,209,1272,1434
36081023800,5278,84,487,1942,2284
36081024000,7150,274,1172,1612,3717
36081025100,6080,1814,73,1392,2769
36081025301,4385,1488,68,1076,1650
36081025302,3417,776,8,929,1547
36081025401,4807,3,2520,1627,202
36081025402,6595,305,2906,835,1270
36081025500,1612,374,0,897,327
36081025700,1660,226,27,673,628
36081025800,2212,14,1589,236,61
36081025900,3542,802,0,1375,1335
36081026000,2984,35,1870,614,300
36081026200,1505,8,927,221,261
36081026400,2695,20,1592,366,523
36081026600,1817,37,1259,147,281
36081026700,5488,222,69,2757,2357
36081026901,5089,221,0,1473,3345
36081026902,3868,302,45,2087,1382
36081027000,2232,321,1319,110,335
36081027101,5389,132,21,3198,1898
36081027102,3425,305,81,246,2793
36081027200,2210,0,1192,294,659
36081027301,3158,0,0,481,2677
36081027302,4607,175,787,567,3078
36081027400,1934,0,1283,225,426
36081027500,6759,497,313,1137,4693
36081027600,1593,59,947,74,359
36081027701,3704,100,28,755,2707
36081027702,4132,329,146,1367,2212
36081027800,2539,15,2005,6,487
36081027900,7403,831,134,511,5583
36081028000,1460,30,861,108,262
36081028100,6085,1741,28,805,3250
36081028200,2116,29,1729,50,69
36081028300,7721,1806,147,708,4385
36081028400,4333,22,3817,77,168
36081028500,5036,1938,93,722,2111
36081028700,7003,2002,72,2067,2533
36081028801,2830,42,2112,259,119
36081028802,2195,37,1289,418,387
36081028900,5631,2318,54,1669,1384
36081029500,3962,1297,43,1095,1185
36081030903,5083,485,178,2093,2185
36081032700,3449,275,29,838,2261
36081032800,2888,10,2488,134,208
36081033000,7612,51,6619,159,564
36081033401,4065,57,3195,128,642
36081033403,4630,19,4447,0,143
36081033404,5527,69,5290,0,0
36081033405,2675,114,1916,135,327
36081033700,2359,255,0,665,1426
36081033900,2773,787,43,616,1237
